id,package_name,BLOB,LM,SAK,CC,IGS,MIM,NLMR,LIC
2,com.f2prateek.dfg,3,112,0,20,21,5,0,19
4,com.midisheetmusic,3,82,0,8,17,0,5,14
5,info.guardianproject.checkey,0,0,0,0,0,0,0,0
10,ohi.andre.consolelauncher,0,27,0,7,3,30,1,31
11,ohi.andre.consolelauncher,0,28,0,8,4,31,2,32
12,biz.codefuture.svgviewer,0,0,0,0,0,0,0,0
14,org.connectbot,10,217,0,27,23,26,9,96
15,org.connectbot,11,218,0,28,24,27,10,97
30,com.github.grimpy.botifier,0,0,0,0,0,0,0,4
32,com.twofours.surespot,0,0,0,0,0,0,0,0
37,org.nick.wwwjdic,34,261,2,63,33,37,6,135
38,org.nick.wwwjdic,27,256,0,57,27,32,0,129
42,net.pierrox.mcompass,0,7,0,0,0,0,0,0
46,de.msal.muzei.nationalgeographic,17,173,12,93,160,47,1,62
49,org.geometerplus.fbreader.plugin.local,0,62,0,2,73,0,0,0
51,org.mysociety.FixMyStreet,5,56,0,12,1,11,0,20
64,mohammad.adib.roundr,0,14,0,1,0,18,1,19
72,com.foxykeep.lifecounter,0,0,0,0,0,0,0,0
75,at.bitfire.cadroid,0,6,0,0,0,0,0,0
77,mobi.omegacentauri.SendReduced,0,12,0,2,0,0,3,3
86,com.ihunda.android.binauralbeat,0,22,0,0,0,3,0,31
88,de.reimardoeffinger.quickdic,6,247,0,43,40,20,3,0
89,de.reimardoeffinger.quickdic,7,248,0,44,41,21,4,0
93,com.ghostsq.commander,5,280,0,34,27,23,1,78
95,com.namelessdev.mpdroid,14,134,0,24,45,17,9,103
96,com.namelessdev.mpdroid,23,197,0,42,18,37,8,114
97,org.androidsoft.coloring,0,4,0,0,0,0,0,5
100,com.byagowi.persiancalendar,0,43,0,2,14,5,0,0
101,com.byagowi.persiancalendar,1,45,0,3,15,6,1,0
104,it.greenaddress.cordova,0,0,0,0,0,0,0,0
108,com.fsck.k9,0,0,0,0,0,0,0,0
109,com.fsck.k9,0,0,0,0,0,0,0,0
110,com.fsck.k9,0,0,0,0,0,0,0,0
112,org.dmfs.tasks,4,109,0,14,1,17,3,0
113,org.dmfs.tasks,10,207,0,33,7,27,6,0
114,com.simplemobiletools.filemanager,0,1,0,0,0,0,0,0
115,com.numix.calculator,0,0,0,0,0,0,0,0
116,com.maskyn.fileeditorpro,8,185,0,20,6,8,2,105
119,net.fred.feedex,0,130,0,19,7,10,0,0
121,net.fred.feedex,10,267,0,55,36,50,0,0
122,org.passwordmaker.android,4,55,0,8,11,14,2,38
125,jp.forkhub,0,0,0,0,0,0,0,0
129,com.mgaetan89.showsrage,0,0,0,0,0,0,0,0
135,com.pindroid,5,63,0,10,20,1,9,63
137,marto.rtl,0,3,0,0,0,0,0,14
138,net.osmand.plus,0,0,0,0,0,0,0,0
139,net.osmand.plus,0,0,0,0,0,0,0,0
140,net.osmand.plus,0,0,0,0,0,0,0,0
152,org.openintents.safe,4,82,0,13,0,0,17,87
155,com.nolanlawson.keepscore,24,198,1,48,24,36,7,0
156,org.thialfihar.android.apg,7,488,0,53,149,205,0,85
157,org.thialfihar.android.apg,0,0,0,0,0,0,0,0
163,org.iilab.pb,4,96,0,12,24,4,2,70
166,de.j4velin.systemappmover,0,23,0,0,0,0,0,22
168,com.amabyte.vtucslabmanual,0,31,0,3,1,0,3,0
169,jwtc.android.chess,7,125,0,11,12,9,11,145
171,com.drodin.tuxrider,0,3,0,0,0,0,0,4
179,com.juet.attendance,18,115,0,39,21,29,4,68
184,com.moez.QKSMS,0,0,0,0,0,0,0,0
185,com.moez.QKSMS,0,0,0,0,0,0,0,0
186,com.moez.QKSMS,0,0,0,0,0,0,0,0
190,com.manuelmaly.hn,5,79,2,16,24,29,7,39
197,org.michaelevans.nightmodeenabler,0,0,0,0,0,0,0,0
199,org.linphone,9,181,13,27,13,10,10,181
200,org.linphone,14,201,16,34,13,8,12,217
202,ru.gelin.android.sendtosd,0,7,0,0,0,0,0,7
203,ru.gelin.android.sendtosd,0,12,0,0,2,0,1,12
209,org.servalproject,19,222,9,81,52,15,26,114
216,de.eidottermihi.raspicheck,0,0,0,0,0,0,0,0
221,net.bible.android.activity,0,0,0,0,0,0,0,0
222,net.bible.android.activity,0,0,0,0,0,0,0,0
231,fr.neamar.kiss,0,28,0,0,0,0,0,25
233,fr.neamar.kiss,0,33,0,2,0,2,0,31
234,de.onyxbits.sensorreadout,2,45,0,8,7,4,2,1
238,com.nathanosman.chronosnap,0,0,0,0,0,0,0,1
258,com.bleyl.recurrence,3,47,0,7,0,2,5,0
259,org.wheelmap.android.online,19,423,3,88,56,91,11,64
271,me.guillaumin.android.osmtracker,4,128,0,10,32,28,1,75
273,de.yazo,0,3,0,0,0,0,2,2
274,com.frozendevs.cache.cleaner,0,5,0,0,0,0,1,10
275,com.frozendevs.cache.cleaner,0,0,0,0,0,0,0,4
276,com.frozendevs.cache.cleaner,0,4,0,0,0,0,0,10
277,com.palliser.nztides,0,1,0,0,0,0,0,0
278,com.roguetemple.hyperroid,0,5,0,0,0,0,0,3
279,org.dsandler.apps.markers,1,22,0,2,0,6,0,7
282,org.scid.android,4,112,0,17,3,11,14,74
283,com.dozingcatsoftware.bouncy,0,0,0,0,0,0,0,0
284,de.repat.mosf,0,0,0,0,0,0,0,0
288,net.sourceforge.opencamera,4,103,0,13,16,14,1,95
289,net.sourceforge.opencamera,0,101,0,7,11,8,0,89
